# (X, Y) are on NAD83, UTM Zone 15N
X,Y,Z,mag
333250,6629400,202.30137134708,4924
333300,6629400,201.807556637294,4920
333350,6629400,201.32235983192,4918
333400,6629400,200.847789020775,4917
333450,6629400,200.385786200227,4917
333500,6629400,199.938212019099,4917
333550,6629400,199.506831567413,4918
333600,6629400,199.093301694181,4917
333650,6629400,198.699158919011,4916
333700,6629400,198.325808404597,4913
333750,6629400,197.974514171215,4910
333800,6629400,197.646390536152,4906
333850,6629400,197.342394916301,4902
333900,6629400,197.0633219823,4900
333950,6629400,196.809799208457,4899
334000,6629400,196.582283349253,4899
334050,6629400,196.381057244402,4899
334100,6629400,196.206228913641,4897
334150,6629400,196.057732452227,4891
334200,6629400,195.935329987122,4881
334250,6629400,195.83861509548,4873
334300,6629400,195.767017785112,4877
334350,6629400,195.719810400609,4912
334400,6629400,195.696114565686,5007
334450,6629400,195.694909052186,5167
334500,6629400,195.715038923263,5325
334550,6629400,195.755225674966,5308
334600,6629400,195.814077368583,5185
334650,6629400,195.890099059231,5081
334700,6629400,195.981703780641,5014
334750,6629400,196.087223258464,4973
334800,6629400,196.204918877561,4946
334850,6629400,196.332993002436,4926
334900,6629400,196.469600334727,4913
334950,6629400,196.61285889662,4903
335000,6629400,196.760860733301,4896
335050,6629400,196.911682663862,4889
335100,6629400,197.063396754759,4885
335150,6629400,197.21408056627,4880
335200,6629400,197.361827020885,4874
335250,6629400,197.504753541251,4870
335300,6629400,197.641011363056,4865
335350,6629400,197.768794150868,4858
335400,6629400,197.886346158754,4853
335450,6629400,197.991970865795,4847
335500,6629400,198.084039694993,4842
335550,6629400,198.161000314725,4837
335600,6629400,198.221384826995,4832
335650,6629400,198.263817549591,4829
335700,6629400,198.287022354394,4828
335750,6629400,198.289829592837,4826
335800,6629400,198.271182772926,4827
335850,6629400,198.230144344837,4826
335900,6629400,198.165901219321,4822
335950,6629400,198.077769787404,4818
336000,6629400,197.965200543373,4815
336050,6629400,197.827782353145,4812
336100,6629400,197.665245886445,4808
336150,6629400,197.477466097191,4805
336200,6629400,197.264463903744,4803
336250,6629400,197.026407144967,4802
336300,6629400,196.763611065094,4801
336350,6629400,196.476537839088,4799
336400,6629400,196.165795135526,4798
336450,6629400,195.832133690624,4797
336500,6629400,195.476444060997,4795
336550,6629400,195.09975268007,4794
336600,6629400,194.703216691611,4794
336650,6629400,194.288117809667,4794
336700,6629400,193.855855319113,4795
336750,6629400,193.40793823849,4793
336800,6629400,192.945976387219,4792
336850,6629400,192.471670204081,4789
336900,6629400,191.986799866552,4788
336950,6629400,191.493213692356,4787
337000,6629400,190.992816288988,4786
337050,6629400,190.487555835455,4785
337100,6629400,189.979410678464,4786
337150,6629400,189.470376132976,4788
337200,6629400,188.962450945621,4790
337250,6629400,188.457623373484,4790
337300,6629400,187.957856525,4791
337350,6629400,187.465074358062,4790
337400,6629400,186.98114848341,4790
337450,6629400,186.507885644573,4788
337500,6629400,186.047016758954,4786
337550,6629400,185.600186857516,4784
337600,6629400,185.16894483785,4783
337650,6629400,184.754734228142,4783
337700,6629400,184.358885064578,4785
337750,6629400,183.98260660358,4791
337800,6629400,183.626981295059,4799
337850,6629400,183.292959226171,4812
337900,6629400,182.981353535983,4829
337950,6629400,182.692837442523,4847
338000,6629400,182.427942326885,4866
338050,6629400,182.187056844463,4875
338100,6629400,181.970427068503,4853
338150,6629400,181.778157654931,4823
338200,6629400,181.610213375608,4799
